fieldName,type,startPos,endPos
TIPREG,N(02),01,02
DATA,N(08),03,10
CODBDI,X(02),11,12
CODNEG,X(12),13,24
TPMERC,N(03),25,27
NOMRES,X(12),28,39
ESPECI,X(10),40,49
PRAZOT,X(03),50,52
MODREF,X(04),53,56
PREABE,(11)V99,57,69
PREMAX,(11)V99,70,82
PREMIN,(11)V99,83,95
PREMED,(11)V99,96,108
PREULT,(11)V99,109,121
PREOFC,(11)V99,122,134
PREOFV,(11)V99,135,147
TOTNEG,N(05),148,152
QUATOT,N(18),153,170
VOLTOT,(16)V99,171,188
PREEXE,(11)V99,189,201
INDOPC,N(01),202,202
DATVEN,N(08),203,210
FATCOT,N(07),211,217
PTOEXE,(07)V06,218,230
CODISI,X(12),231,242
DISMES,9(03),243,245